c52_1.txt;6374.847;0.024;
c52_1.txt;6374.847;0.023;
c52_1.txt;6374.847;0.022;
c52_1.txt;6374.847;0.024;
c52_1.txt;6374.847;0.022;
c52_1.txt;6374.847;0.021;
c52_1.txt;6647.944;0.136;
c52_1.txt;6647.944;0.184;
c52_1.txt;5572.725;0.024;
c52_1.txt;5572.725;0.017;
c52_1.txt;5902.471;0.125;
c52_1.txt;4651566.201;0.128;
c52_1.txt;4651676.245;0.129;
c52_1.txt;4651676.245;0.098;
c52_1.txt;4651676.245;0.095;
c52_1.txt;4651676.245;0.11;
c52_1.txt;4651676.245;0.095;
c52_1.txt;7563.22;0.203;
c52_1.txt;8585.308;0.117;
c52_1.txt;8585.308;0.11;
